symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,CPrice,change
ANHYT.IS,22.82053629557292,37.051306830512154,30.12569788357811,43.183558421776404,-0.17839863798715913,0.0021659391551724916,0.18056457714233162,15.504624088038103,0.11794307911437148,33.76038776940669,51.14600976503822,19875691.0,38.02566997853766,-11772706.734828686,17.43559388503359,-100.7880954546223,-0.9852160744208002,-0.10137014714014288,3.7731952832051237,83.22855113340924,81.63333384195964,92.59357742089222,-1,89.06826721801367,80.4000015258789,-4.2857124691917825
ANSGR.IS,65.54551038139215,62.84402034158361,95.9386281499128,95.71188692396868,0.4075592591415008,0.5938977345801577,0.1863384754386569,17.301535558970432,0.41148980140753755,39.665893169416265,45.69974347773959,50609020.0,41.75557840386343,26906243.62046679,28.143970689319747,-29.05093953240869,0.6908445419257857,-0.09204269515831551,3.79611603353532,87.76125607287423,87.68333180745442,92.39698968623624,-1,90.15297043231749,87.44999694824219,-1.3536430422806167
ARASE.IS,14.509058194953033,34.08465053792123,0.0,20.759061223655788,-0.38974802464958463,-0.0826959569624623,0.30705206768712234,19.1478693485273,0.33610354867383946,11.876599599503535,54.32160845569796,111125575.0,41.90215764305583,-80145116.84161519,24.63130248105854,-48.17345705450988,-2.475481973016317,-0.12586884543785926,1.8394699208108882,42.89210912615484,42.0,40.962868069712,1,44.064549566372555,41.7599983215332,-1.7411804199218728
ARCLK.IS,0.759734354964119,5.924161026343511,0.0,8.62199036519661,-0.001988044626291652,-1.235896091057303,-1.2339080464310113,21.003850124132864,0.011496219870205408,0.0,19.22889202045834,29850441.0,27.584595324047402,-70692885.18666433,29.162489776632448,-142.68236955040317,-13.206109199815124,-0.29900296945984556,4.598262381751539,117.24371111175351,114.69999694824219,128.16512372202658,-1,121.86685064466214,113.69999694824219,-1.9827612515153525
ARDYZ.IS,26.011578962648873,27.825142720564543,77.44709064547986,76.07001050443998,0.06985104300062961,0.15576772477219047,0.08591668177156087,15.541815749667332,0.3506458328770544,4.264772968660276,50.07620496154427,23249477.0,40.21639137607091,-162352500.2066245,31.179454223291806,-34.632075222776386,-3.0162438833558243,-0.384807507292135,1.1141580380316831,24.88046659852622,25.339999516805012,27.412855600585935,-1,25.843699598267634,25.079999923706055,1.7031633369536392
ARENA.IS,57.67863480773201,51.358651382867954,89.23758823917524,79.99083504366517,0.15855201302862784,0.2529130349258989,0.09436102189727105,9.988172935718024,0.8477701931044735,51.01764165479599,62.19521795086367,56396177.0,56.01097278189795,-24784429.970133137,15.360015994608286,144.0409583736444,3.554502305405923,-0.11595498706601721,2.447862025689066,42.85085218866747,44.08666737874349,45.53258366302614,-1,41.89042342804281,43.70000076293945,1.6279087510219892
ARSAN.IS,72.47613255376798,73.64824467025726,71.2389970711674,71.82314607856677,0.020368478231434617,0.07058699239125887,0.05021851415982426,9.180863738308878,0.8335873642567572,56.948808116336714,63.724675684023666,60576989.0,55.51446407581007,27554864.004573703,22.951406587112455,116.58106529437173,7.556941070824239,0.09043733782709502,0.8373984938481911,20.648215092703488,20.746666590372723,18.606562721484522,1,19.982266654600636,20.780000686645508,1.3658570080268717
ARZUM.IS,27.021299502923043,21.65012981299046,79.39970935441414,54.81048406594065,0.024859898912846082,0.004128145416296886,-0.020731753496549196,19.284681245813534,0.3212996659984941,2.1503556591496253,51.02166345923031,373524242.0,38.872401746650176,-325813916.506401,25.555377175972936,-55.04356454287147,-4.790414716280099,-0.40921120618991425,0.15087933085511349,3.1859127919040393,3.200000047683716,3.5532487491067757,-1,3.2817088559218828,3.180000066757202,-1.2422348291186713
ASELS.IS,82.86851790384412,89.32478864542708,83.91764891731519,93.28528234380946,0.20352617054994182,0.6934073938574148,0.48988122330747297,24.85564830906768,0.8152639289153344,92.78253723076367,67.69954728363098,1766168365.0,65.59210578192561,168501863.92832443,43.56327329774845,90.98142507050268,13.255036456601864,0.14115296460475052,4.993583396403551,135.52119630732352,134.56666564941406,123.41612103665017,1,127.7095192465844,135.0,-0.2217317405699193
ASGYO.IS,13.247910273182624,25.303385880127042,20.569477336471863,45.65661349958963,-0.010140953992468695,-0.011357889178925454,-0.001216935186456758,6.854188760598842,0.03207872109556669,4.836042158302645,41.04438560534956,-69873326.0,39.03438941329973,-315849431.3311019,15.398430089458977,-159.6625956033514,-3.076920255401327,-0.36918785822963673,0.28281157588936734,10.19931035980008,10.126666386922201,10.964645208913604,-1,10.645231598622505,10.079999923706055,-1.3698663372291198
