symbol,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,st_way,Supertrend,kama,CPrice,change,time
STEEM-USD,20.79262363480736,0.015265161029451,11.59395217115348,37.94113296886816,37.21381477902364,17.850587214496183,-178.320231011808,-11.253936272862171,0.0453842643759493,0.0072551586974818,0.1361039492318644,0.133371834953626,-1,0.1544834125198484,0.1426334672160224,0.13270731,-2.120945148339093,2025-06-01 15:01:52.434058
AERGO-USD,38.4758991219209,0.0618257326482903,10.951980810441489,59.011782265833695,37.546956834437154,23.8279425227092,-151.7682937408834,-11.917853447843454,-0.1119608133378992,0.0169227351985474,0.127491700056842,0.1193236733476321,-1,0.1632769120323722,0.1628825393455213,0.119060636,-1.3565833171807595,2025-06-01 15:01:52.434058
EGLD-USD,32.12509960289561,0.0131982905492012,7.280647660935354,40.39916940846624,37.605338420442784,20.546676452938925,-195.86749956618976,-16.837379415445245,-0.2655554505446524,1.2037400603063064,15.844114929377184,15.295910199483238,-1,18.855152249783657,17.19188524464739,15.252534,-1.6226089800088328,2025-06-01 15:01:52.434058
ENJ-USD,32.52171793406681,0.0033897689377546,4.0097546256046215,43.33960602935983,37.89831005349731,18.35635693428724,-201.01570639589903,-17.819782598152145,-0.1665420005285679,0.0071230285434008,0.075895754767782,0.0729732836286227,-1,0.0941919518382424,0.0824981315153362,0.07271717,-1.0782307523047097,2025-06-01 15:01:52.434058
CHZ-USD,25.293808257205114,0.0371928759425978,3.4968769492365395,48.590141320779885,37.936026937374,15.386015837017773,-193.17222444854227,-12.773426088149929,-0.100156423195981,0.0024860249256329,0.0397705788635337,0.038810400913159,-1,0.0462240488513134,0.0430220230422281,0.0386405,-0.8898356557232368,2025-06-01 15:01:52.434058
LINK-USD,23.29480224616412,0.0108025216938218,25.08882439022001,39.35005595033631,37.97306436612722,17.673981219186125,-203.43409256550424,-11.898359475892384,-0.1162675615601232,0.9160105439906256,14.2532390871106,13.811750729878744,-1,16.49152082898324,15.207200934604366,13.824653,-1.0883346628014934,2025-06-01 15:01:52.434058
DOT-USD,25.74928584464769,0.0258960087974484,9.254098664246046,42.41678673519797,38.03375399461792,17.215228484218773,-175.28555108708878,-13.817547815173846,-0.1736213042080687,0.2572670996935159,4.148996960560641,4.037621180216472,-1,4.799939921292589,4.45857365140721,4.029577,-1.260421733318795,2025-06-01 15:01:52.434058
SPELL-USD,28.269826268300537,0.0348680579508766,7.998805622009571,51.13861346100018,38.45244586694594,19.706927967019748,-191.91285656867808,-14.5138193499293,-0.1443734230914423,4.623337842888348e-05,0.0005398336635018,0.0005246500562255,-1,0.0006615609895255,0.0005792702507061,0.00052574003,-1.2488931965160766,2025-06-01 15:01:52.434058
SNX-USD,32.689104631622,0.0699628302892529,3.9325361519312505,36.86216876400949,38.52644871416568,19.63702258883748,-167.3014177932979,-17.182117582452083,-0.2443292426699084,0.0561656929121896,0.6938713400891054,0.6783532500267029,-1,0.837495906307526,0.7529527980409252,0.6745285,-0.3513923845679834,2025-06-01 15:01:52.434058
NEAR-USD,28.289889626430217,-0.0010906232671851,8.932812887870435,43.368045108743374,38.64485846275021,18.68493991018231,-210.8710390721827,-14.618734301916998,-0.1760322037288049,0.2023283364467452,2.5039274944011387,2.398399909337362,-1,2.99426917660773,2.7036513679111205,2.3969603,-0.982250041103172,2025-06-01 15:01:52.434058
