symbol,oversold_score,reversal_signals,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,st_way,Supertrend,kama,CPrice,change,scan_time
INTEM.IS,5,0,12.815222100942329,-0.113085559065316,0.0,40.61922550557419,29.10103163029858,13.437969278081653,-209.0182746002821,-11.691542288557214,-0.3391155056169884,6.454168688629953,182.10446214966063,179.56666564941406,-1,198.82297915748885,191.915165743835,177.5,-5.080213903743314,2025-06-02 23:30:20.886030
CRFSA.IS,5,0,12.771633851463069,-0.177511435555433,1.0416666666666614,42.217023362177706,29.13094157207566,19.57910573533007,-211.9168138123496,-10.93942930432466,-0.3405909007118949,2.47578287837436,74.92728330445821,72.83333333333333,-1,80.60684124789817,78.78800748670005,72.05,-5.878510777269764,2025-06-02 23:30:20.886030
ANGEN.IS,5,0,7.589165050746848,-0.1933194029384806,0.8310249307479374,49.41152505421023,29.2373290380896,9.09888954416619,-244.61752807245247,-7.404102773252575,-0.3563036815179773,0.2782244512736596,10.584340810292147,10.456666628519692,-1,11.285998598006843,11.057218251276502,10.38,-1.236917221693612,2025-06-02 23:30:20.886030
AKGRT.IS,5,0,14.356497639934071,-0.0491649156604008,15.128205128205147,47.38050090684306,29.72286731019008,22.14417032599287,-172.37915595616312,-10.954613832411958,-0.1409827498705801,0.1801905319869437,5.859097345363779,5.733333428700765,-1,6.25568345407302,6.3096910821997385,5.69,-2.06540447504302,2025-06-02 23:30:20.886030
EGSER.IS,5,0,10.325412844658514,-0.1176635054223938,3.973509933774839,37.50179744734494,29.97913596417824,14.657728651264357,-221.69346845213883,-9.969786387033604,-0.2576735816778421,0.0871563500830363,3.049097337539007,3.003333330154419,-1,3.2616790472327586,3.1562936259665384,2.98,-1.650165016501648,2025-06-02 23:30:20.886030
DGNMO.IS,5,0,13.924925313160744,-0.107148650267523,0.0,25.615265618855418,30.546396505317905,9.496172237148956,-169.95493491664402,-9.436839363726513,-0.4009773051313471,0.2218718982991723,6.1399795936522565,6.059999942779541,-1,6.752432672110335,6.479310865532451,5.95,-4.0322580645161255,2025-06-02 23:30:20.886030
ELITE.IS,5,0,26.37477088028542,0.0473473769364514,40.87523277467412,21.650610719265448,31.777314304080537,19.749752919543997,-137.86566717347137,-12.718201167544745,-0.3997219009042372,1.8183113321116056,36.315152421684346,35.426666259765625,-1,40.793839790182304,37.83996928846268,35.0,-2.343750000000011,2025-06-02 23:30:20.886030
OZKGY.IS,5,0,14.405315832453637,0.0334444356872063,23.392857142857157,25.318677602611853,31.89027573950941,17.72544352838945,-149.8079050299533,-12.00360950238341,-0.1477587037572193,0.3097093002103311,9.945456386821506,9.830000241597494,-1,10.750315153535103,10.407480909595389,9.75,-3.4653465346534573,2025-06-02 23:30:20.886030
KRSTL.IS,5,0,21.14015558116633,-0.1494992411899449,30.76923076923076,28.864419909067465,31.98863792403938,22.15604724534648,-255.2602270756755,-16.75824494325016,-0.2678926595015532,0.2936214316193379,6.369594278490325,6.129999955495198,-1,7.0153075986773885,6.604765233728833,6.06,-3.194888178913746,2025-06-02 23:30:20.886030
ALARK.IS,5,0,13.595930490466058,-0.0541836862976006,8.881922675026125,26.75644790868231,32.253564264225155,28.825194159293588,-187.45295075784185,-10.98654232919949,-0.2120588803692987,2.836853822158195,81.32865169904295,79.78333536783855,-1,87.7501356133699,86.46409264943671,79.4,-0.7499999999999951,2025-06-02 23:30:20.886030
