Unnamed: 0,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,CPrice,change,old_Stoch_K,old_Stoch_D,old_StochRSI_K,old_StochRSI_D,old_MACDAS-dif,old_MACDAS,old_MACDAS_Signal,old_BB_BWidth,old_BB_%B,old_YF%,old_MFI,old_OBV,old_RSI,old_AD,old_ADX,old_CCI,old_ROC,old_CMF,old_ATR,old_FWMA,old_VWAP,old_Supertrend,old_st_way,old_kama,old_CPrice,old_change
228,IZMDC.IS,5.802447881990603,9.045247602753523,0.9708803458363318,3.33805882807412,-0.0228193055184397,-0.0351965008849106,-0.0123771953664709,8.329354663871436,0.0746003371144982,16.599190283400816,26.305252032543564,100459681.0,43.0080180200416,-228450706.2162107,25.957214680976172,-143.45249552537663,-4.8543688421458855,-0.1339502660645179,0.1547755456763786,4.948722112493147,4.923333485921224,4.751629042038612,1,5.012103620193648,4.9,-1.999999999999991,57.27695999090204,62.67281858029606,76.78733211655042,81.68506663082542,0.0184555114533569,0.0512161952549902,0.0327606838016332,12.553491210776077,0.7852346957031731,13.92757600969932,76.73535368635937,22073629.0,53.43886157188948,-415189964.26690894,28.054330932547217,103.96482943279422,5.7203388332258935,-0.1448643518700544,0.196795173332982,4.999553679936314,5.019999980926514,5.142422031644745,-1,4.9159186490221485,4.989999771118164,-2.348343625457205
229,JANTS.IS,2.880868208217333,3.222354357678513,0.0,8.58348883756295,-0.0726563595396458,-0.1155442565676986,-0.0428878970280528,11.015486784926695,-0.0317835977558316,1.3761467889908163,55.87063437913108,177907114.0,31.69535998976986,-351866177.25850546,11.210827041360004,-168.08975747449352,-8.909086747602982,-0.3807816237924556,0.8068112347823093,20.34186640617572,20.359999974568684,22.63648861526338,-1,21.55534459176064,20.04,-0.3976143141153132,1.6754113746646828,9.11281372172768,0.0,6.675808808528231,-0.045805266911079,-0.0926572444833111,-0.046851977572232,9.387488582669926,-0.0713577174449619,2.0305762014947804,58.77059310041651,304438790.0,34.19330614618068,-438361689.57823807,9.220358685316564,-177.42287388054035,-7.192373217014046,-0.4879776078014475,0.8007429857925502,21.80947945809509,21.609517784084545,23.930298513178776,-1,22.627968146666948,21.389827728271484,-2.459011979470127
230,KAPLM.IS,48.355535519855486,57.30315261963091,10.803374081577054,20.348828813878693,-2.0394438616543225,-0.9540981931725732,1.085345668481749,31.457751211300327,0.5891680187269293,63.73303997066374,66.74788301659585,1828850.0,56.02922228738638,-5701392.769154718,46.749695786929976,29.92040293328517,1.954546841708097,-0.1156225332339975,11.61589476757204,226.41643092405,225.33333333333337,198.7640688093216,1,220.07707495096852,224.3,1.2641083521444774,61.55601185663445,68.30218300768449,54.576304745834285,65.92066998098532,-0.4585961227978463,0.4632533636196521,0.9218494864174984,19.23680440257162,0.642733814708838,40.704068584980426,73.45041457525929,1489183.0,53.57764473316788,-5406640.339392583,23.96554690201041,35.154512391199994,-0.7205399553702023,-0.0769687132165051,9.593127102966172,193.32484562933809,192.06666056315103,201.9866243948571,-1,189.41325548791065,192.8999938964844,1.847940925443159
231,KAREL.IS,3.1243052607982,2.001130686320425,0.0,0.0,-0.0545155112012176,-0.1208560698935383,-0.0663405586923207,19.727359711588928,0.0184510728955908,3.952569169960477,28.944823259088164,34155902.0,34.89289929374174,-126147643.17591543,13.903857808470354,-157.50655477925102,-15.87301619339022,-0.2658115464415115,0.3336517488456166,8.138052715974695,7.989999930063884,8.969956503223445,-1,8.525134581425283,7.95,-0.872817955112215,5.3824328080125525,17.80798591627234,0.0,8.357147888283546,-0.0282705772912576,-0.0651590746733428,-0.0368884973820851,13.125840859385102,0.0156135185318049,5.731224607360877,48.10472794384696,11967383.0,38.7492698559073,-95818037.3731434,11.108564978613575,-158.3015369072778,-6.336407504581592,-0.195886767710155,0.3425810886606868,8.293458488843504,8.173333485921225,9.162561818901525,-1,8.54910276586187,8.130000114440918,-1.0948923316814183
232,KARSN.IS,0.2687977702475188,2.700196993692236,0.0,0.0,-0.0451137303236792,-0.0761680761282695,-0.0310543458045903,11.637151757353084,-0.0022248754400082,2.3589743589743453,38.55686050155818,927186018.0,36.22482468163514,-2005693324.130226,14.47751692343889,-169.4252892553546,-7.189546732222945,-0.2614596435785765,0.3324850592423476,10.077738213490765,9.973333358764648,10.912241646522022,-1,10.681332599688862,9.94,-0.6993006993006978,24.93224133791409,37.90737241731035,49.21919689860521,66.18280273868218,0.0111866621145459,-0.0042497177111036,-0.0154363798256496,10.223925577719584,0.0890270173336841,4.820516030777763,53.503597825725954,1254847047.0,40.84169406694064,-2402039872.030094,19.018702130238196,-111.35715217543137,-4.592312723659864,-0.3648759947847276,0.4375080821570394,10.396490924015009,10.276666641235352,11.475093144417642,-1,10.935725253635365,10.18000030517578,-1.8322042669247085
233,KARTN.IS,8.552907815139875,16.78403271395642,9.5575834335516,22.15822112918456,-0.5985429727975949,-0.3163061990156803,0.2822367737819146,16.292092219311012,0.2319770542195831,6.807131280388984,60.956591539442485,15284299.0,40.129031006339375,-32250688.403301176,15.509165597855542,-73.15626784922516,-3.811254044432892,-0.4203135011996121,3.677856444634038,81.29401537757857,80.31666564941406,91.88287930610402,-1,84.71763287759211,79.5,-1.851851851851849,0.3944710846103814,15.64501721354626,6.443112999092869,36.116071410491095,-0.3132184831012709,0.0560490130448414,0.3692674961461124,9.892693795613711,-0.1509196312441567,4.5335050766057465,51.35114871018182,-1309897.0,31.932831577722126,-41954797.72675954,13.115655138988895,-201.1893390008696,-7.678784076693927,-0.3937481282657398,3.317286404186446,80.9444217952705,79.53333282470703,89.18553648798469,-1,85.74418657220644,78.75,-2.0522406648808444
234,KARYE.IS,5.860801254239135,4.139691951342482,3.1659123568977967,1.4450244124708924,-0.0507333320978705,-0.2933285461227678,-0.2425952140248972,21.313569860222767,0.1796678855612381,40.70397111913357,59.22443180333996,37521761.0,38.296960659506574,-159254376.41922382,14.30583296673698,-109.58581394413604,-6.178158419279348,-0.6169482257741793,1.247433718447177,26.377322796633955,26.43333371480306,30.04182358741797,-1,27.35850785556797,32.46,8.272181454302864,61.30436375070402,43.47514085885536,72.28186157158076,45.13652942903772,0.2468006864305902,0.3313352673882837,0.0845345809576934,19.19425545686692,1.3348265511338244,40.70396836142125,76.48045408581793,53850634.0,75.76687977260306,-167130931.43309873,26.68247168672344,267.4533359681942,15.269883737075782,-0.0272930155468327,1.4232963420195892,29.95354953595639,31.606665929158527,26.64306362109344,1,27.738686766201468,32.459999084472656,8.272180053713685
235,KATMR.IS,45.97702243584528,52.94472940863506,55.701314517999926,64.41363922372157,-0.0083433317265326,0.023141678143024,0.0314850098695566,19.5553411237992,0.6014929983107097,9.163346613545816,68.32828055304479,2973976993.0,47.81787792475687,-5307465090.982015,20.65376805919901,37.66744653397946,-1.183437837789033,0.0024676634004399,0.0810407401214485,1.6897261720641872,1.6799999872843427,1.524507925654472,1,1.6453496050429135,1.67,-1.764705882352946,3.6903654945349658,4.98160453827088,21.438779599993968,19.430738909425383,0.0297258095345539,-0.0206088204736456,-0.0503346300081995,87.64318497984434,0.291974204759773,1.593623984263234,29.82159438485008,1691606106.0,31.13371319420397,-6231001713.502425,32.50860608141343,-55.267853990111306,-30.841123994255227,-0.4094437102745887,0.1038864055903293,1.4866430162174464,1.5,1.792882469207118,-1,1.5478002566667182,1.4800000190734863,-1.333332061767578
236,KAYSE.IS,77.25468674971101,79.45130182019072,53.34478283875452,68.62483660589183,-0.0587135912857091,0.0961272260237164,0.1548408173094256,21.378649526506432,0.793181810710216,29.984894259818727,84.08822602693525,77618553.0,60.3352933354611,-184648220.2420818,34.1824716528896,72.60490850976613,7.787996494769748,-0.0891212774922538,0.8840454658545396,19.735750604594696,19.836666742960613,17.4238411936449,1,19.00917291595313,19.93,2.4678663239074528,54.51861131829373,61.47348518029955,70.38452864811569,85.72142483622214,0.0156725952891228,0.0553965071085327,0.0397239118194098,6.692280803136946,0.2406085058059992,5.905132296007045,61.47006335735574,90108718.0,43.7305215877221,-285913992.7977898,19.83883517160845,-51.94935305675641,-2.1082561137862297,-0.2136884396329754,0.6303942270652186,17.423367186927408,17.349999745686848,18.793786296138705,-1,17.804833789561663,17.18000030517578,-2.386364018128917
237,KBORU.IS,8.480691165952258,8.806088517409076,5.296208352002828,3.369326322179019,-0.3435535276314789,-0.4197339242435962,-0.0761803966121172,9.165494829738376,0.0393395640158723,11.782477341389718,34.71729170984764,82248638.0,38.35972641296303,-92387974.96644372,24.35032822398868,-183.2778874753565,-5.760705889194139,-0.29632164029425,2.127074982894979,64.48453303911623,63.53333282470703,69.52852212441195,-1,66.12740193462037,63.8,1.0292953285827355,17.460314165037847,26.11367697826328,32.25015606349644,41.45870259224015,-0.0898202730259472,0.1964441390594395,0.2862644120853868,7.128104910091586,0.1999177135837784,9.97415424676171,51.08562397797668,64294574.0,40.74947604687851,-184085278.21424755,13.800070203563696,-86.1438444067619,-1.6329751196319855,-0.2036451305105409,2.3662558098852644,64.10081128319669,63.75,70.49008892712217,-1,66.48779839378695,63.25,-1.4797460956393338
