,symbol,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,CPrice,change
241,KFEIN.IS,-0.8057881282465699,-1.317720188635672,-0.5119320603891021,16.48648803234743,0.37619241829253686,119.19191919191915,42.47372557941482,20622727.0,50.74902504351345,-41350799.15303343,21.286987632902978,-41.951547241608786,1.9827612515153556,-0.35649484109317114,6.815072308862733,119.31622815857554,118.63333384195964,118.3,0.25423728813558366
242,KIMMR.IS,0.013313923782107981,0.09325580113340834,0.07994187735130036,6.371857580292445,0.9802599348349376,17.457886676875937,64.38241411965406,-17097570.0,49.600454594780025,-155101892.97084782,15.008619293922212,123.52401795367629,4.642861440879342,-0.06510362527117086,0.2965813140777658,8.700213042524233,8.759999910990397,8.79,1.7361111111110938
243,KLGYO.IS,-0.0051168316875059155,-0.039799642667741456,-0.03468281098023554,18.429535292852982,0.36594339691184424,36.734693877551,37.20697670893628,577151798.0,46.35168256428277,-432827209.99680156,17.037682999456916,-54.55647614619764,-6.611573586217278,-0.11410302885514587,0.23159263997208634,4.435050704174545,4.489999930063884,4.52,2.7272727272727115
244,KLKIM.IS,-0.051485534796070875,-0.25479035033030656,-0.20330481553423568,10.415827253056328,0.2051665379141094,142.00626959247663,39.57604269660926,37009110.0,46.337100680757736,-94943620.91828313,13.671911060838394,-98.59860491328826,0.4380456622617813,-0.1668005499159216,1.4301506304171403,32.142838781794,32.113332748413086,32.1,0.37523452157599557
245,KLMSN.IS,-0.01980979270774766,0.11891795341627409,0.13872774612402175,7.244255682906355,0.5655916903723704,13.578947368421066,57.591245139741595,10583115.0,46.521529537814764,-16132059.964532347,25.51628643615083,11.822052835074846,2.9203532578400258,0.1134344225603299,1.0096960833064614,23.36778931491999,23.166666666666668,23.26,1.7497812773403343
246,KLRHO.IS,-0.20364034750872917,0.06999325506602544,0.2736336025747546,28.108639528468295,0.5767619806141717,21.53249272550922,60.10126593192934,34770765.0,50.77214066886122,-18466563.767343283,23.505007748178024,21.350178729921815,2.045458042917223,-0.30708275328172574,1.5359939973727978,27.217302490683164,27.040000279744465,26.94,-1.1738811445341168
247,KLSER.IS,-0.055104889749514635,0.11193892851378645,0.16704381826330109,10.29645610311022,0.52125726411316,7.324106113033444,69.73089185554731,39857181.0,46.66046702619235,-166214552.39900512,20.799108634282796,41.439286209234865,3.0695758113842952,-0.09993892035556455,1.1625132061527357,30.39509091174143,30.56666628519694,30.22,0.7333333333333192
248,KLSYN.IS,-0.018356158059894687,-0.04048399287502302,-0.022127834815128335,12.547963179723943,0.1074208533870375,47.61904761904761,32.569009262072264,30564558.0,40.548333542280496,-143176211.16432115,16.685696907895775,-133.86540803446252,-6.59537172175524,-0.1790084325133094,0.2576569572770759,5.2866024023137275,5.223333358764648,5.24,0.7692307692307665
249,KMPUR.IS,-0.06975116069793257,-0.08731461684638941,-0.017563456148456846,10.883489340481642,0.05155301079324078,6.6218034993270445,32.37998726707798,-17042176.0,40.95325701980073,-76363314.6094706,11.744351837162704,-161.71168466417876,-3.52941400864545,-0.15366379286428353,0.8479069563059836,16.67865072254235,16.380000432332356,16.4,0.12210012210012167
250,KNFRT.IS,-0.04731299198092852,0.027126233698905322,0.07443922567983384,16.22754125593967,0.373734524666357,54.75206611570245,66.03867573404305,52282107.0,43.06910402978744,-16337277.06402814,20.465673959520686,-33.03041038973533,3.95371120479048,-0.031149889717324127,0.5806908128872331,10.983995841918079,10.833333333333334,10.78,-1.1009174311926717
