symbol,price_change_pct,current_price,start_price,current_RSI,rsi_change,current_ADX,adx_change,current_MACD,macd_change,current_MFI,mfi_change,current_Stoch_K,stoch_change,current_BB_B,bb_b_change,YF_pct,trend_direction,BB_potential,BB_downside,period_high,period_low,period_volatility
FADE.IS,-4.307253182519977,13.329999923706055,13.930000305175781,45.500299464591976,-9.72040456495153,16.653400306024423,-3.8538632038022413,-0.18363432568318672,-0.25897398402697647,50.11640621221224,-26.13620337848026,15.33304197567331,-22.41949956002872,0.2629257187585516,-0.4357889615070139,35.60830415476578,sideways,10.110808137759664,-3.606680580921595,14.720000267028809,12.579999923706055,0.4690109309396939
CANTE.IS,-4.3478293062189755,1.5399999618530273,1.6100000143051147,39.67774499752051,-9.431779952736576,27.163577866942827,-5.7594355417283545,-0.0033724049408636603,-0.043329459378893764,48.80556828928177,-9.173352443656306,9.430431540244951,-15.8048355249863,-0.06353944563431396,-0.42552640505977835,46.000003814697266,downtrend,9.62007534960241,0.5747358569380578,1.75,1.5299999713897705,0.03572924076588809
ALKIM.IS,-4.383004867661777,14.180000305175781,14.829999923706055,37.63747199001723,-6.705638617641142,17.254059508947705,-10.277666691584802,-0.212137519934398,0.18171891024405973,45.5094879953181,2.1557057890562206,9.90913307376471,-37.69337635765757,-0.009509282788457097,-0.5142686585860261,3.8369267262533957,sideways,7.894601466985929,0.07436484154397238,15.609999656677246,14.020000457763672,0.2844293051960662
TDGYO.IS,-4.407715724144856,13.880000114440918,14.520000457763672,45.97118024992081,-1.9034531364876983,14.429638845769771,1.1188417186789152,-0.10968242721243193,-0.23028594908143418,48.692607603875864,6.289827908995157,49.3986197281831,3.456033539720387,0.3352428198475462,0.07980628867368911,39.240500980835975,sideways,8.342785858397939,-4.207339371516272,15.899999618530273,12.020000457763672,0.4468026447080814
ERSU.IS,-4.432857225630881,14.65999984741211,15.34000015258789,42.546585361400446,-4.088270954430541,19.1158287194528,-8.695126548250364,-0.25381347186108627,-0.3727382195483919,38.88627487101559,-7.037559970253405,9.229928196330508,-7.97436549972408,0.18431049528503501,-0.07713009360629752,31.32910819375283,sideways,8.125158423659506,-1.83593385065971,16.260000228881836,14.34000015258789,0.3745580496918911
SOKE.IS,-4.434386992400386,10.5600004196167,11.050000190734863,38.417212937670065,-10.62613963834017,22.763726882851582,3.999164650169586,-0.1050455758754314,-0.039050935216620175,62.32996082469708,-3.1069489633939327,2.027863875148664,-23.305486170191735,-0.0006300078714329456,-0.5119276291398388,18.83562247823369,downtrend,8.309153691913874,0.005231536321792518,11.75,10.539999961853027,0.22491862028005394
GLCVY.IS,-4.548895108603479,62.95000076293945,65.94999694824219,53.24749607638585,-16.972318772208858,33.24201465533152,-14.099232354899215,1.222156412939718,-3.544680647831889,40.41376361047209,-34.77068997482802,16.27070934273972,-53.196629297176514,0.4527114471418839,-0.3898828175852473,73.03978666476355,downtrend,6.250895680729385,-5.17067644623218,71.30000305175781,60.20000076293945,1.844165242106508
BMSCH.IS,-4.587157641651663,11.4399995803833,11.989999771118164,48.81062355165086,4.155620335434435,23.010449366936246,-1.2173789825023462,-0.18249193978119926,-0.3208867834324849,54.87615509396215,33.21869102089988,73.19044872205907,54.267421143699465,0.5602119330398632,0.398380788396302,35.79935298244222,uptrend,9.002284904393122,-11.467313024031577,12.8100004196167,10.3100004196167,0.6006389983915845
TAVHL.IS,-4.597198021274385,217.89999389648438,228.39999389648438,36.021681449273224,-2.1880724282325588,27.331296823397373,-13.842605658165802,-4.4484937977925085,1.5642860197440882,19.61233423724706,-28.76779694688839,8.216506394881321,-6.908534037811522,0.12192151346671945,-0.06280303077596869,2.6414979178950473,downtrend,11.020846523802618,-1.5302485011008393,247.10000610351562,216.5,7.014828241393092
SANKO.IS,-4.626867102117826,19.170000076293945,20.100000381469727,34.57549862953384,-11.093469127048067,10.26362455678426,-4.25863144666768,-0.27262412700569527,-0.007743011241064579,46.84887188802444,-23.65182915082496,1.9344785142882124,-5.140358196544607,-0.027514698259915975,-0.4293770924276167,7.304349152938179,sideways,11.136324602793813,0.2982075212055513,21.780000686645508,19.139999389648438,0.5329103547557267
