,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Supertrend,st_way,kama,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,CPrice,change
24,NEAR-USD,81.11347524563409,85.86680533548834,88.45267867490873,93.32597771200098,2.1368572456250225,1,2.4121094837362325,0.011032556592407497,0.07262074971645431,0.061588193124046814,39.25521937941971,0.9000062819475523,,81.05058868172596,3623355530.0,58.97359494452007,1869889792.7262273,25.89685527305863,108.5533419134101,32.783515282651116,0.14930736921515003,0.17710111200333206,2.55736365231249,2.5550038814544678,,
25,LDO-USD,80.88534798007427,87.04672073770571,87.76498208126384,93.74375225318796,0.8685369682937217,-1,0.7969117279084941,0.003186546749608433,0.02731174263173617,0.024125195882127737,32.98744945390524,0.8495065642551565,,70.09360601904142,-46992598.0,54.81133633040171,-704013334.626155,27.87982872112717,114.92057551564953,22.897631726061004,0.13292323017983962,0.058561458807423084,0.8386233678695879,0.8436195453008016,,
26,ALGO-USD,81.27537778012247,84.9327193385572,89.39067463979278,93.75940347593587,0.19168139735332718,1,0.21503955087863336,0.00023106580617709722,0.005033662634183004,0.004802596828005907,37.511371940181434,0.9280859616484165,,78.97903668505259,13968249053.0,65.99303206336809,-91450286.66764568,24.596590620271492,121.19085560701696,27.110980707321545,0.10506609730827796,0.014304656134047864,0.22534313389906777,0.2271992415189743,,
27,ARB-USD,0.0,0.0,50.0,72.22222222222223,0.0008563335111303964,1,0.0008576708239076692,-4.856412545168985e-07,-1.7117741445506693e-07,3.144638400618315e-07,0.024698255588802162,-0.5897247603655579,,0.0,34.0,54.21475901341825,13.43441951593062,25.622263342167898,-666.6666666654147,-0.02833044149356785,0.0,1.2004940884683185e-06,0.0008579070734627107,0.0008577569387853146,,
28,EGLD-USD,62.88506913202298,68.09870641872719,90.51341737957824,94.6440024072404,14.385767577375152,1,15.856190760513094,0.1069372745322138,0.5518178949086759,0.44488062037646214,37.43634039348629,0.9515223887987841,,73.98599445688599,361978934.0,61.877920015678214,687257714.5655882,33.88530618709924,133.76327564300001,29.980511482826028,0.041564653337674166,1.1265826756264077,17.11029865195253,17.255844751993816,,
29,VET-USD,84.35134596341967,88.02867381036579,89.70635867013557,94.06705893426859,0.023101370811608228,1,0.02536795267481626,8.241765414337791e-07,0.0005324675134024148,0.000531643336860981,32.15003457451966,0.9000222752314823,,73.09887368952103,2257855477.0,64.25809292343442,1460830853.7830765,23.093100595707106,117.62582400476565,23.0130444923063,0.053907460372697204,0.00153008001786658,0.0267914528684581,0.02696754348774751,,
30,MANA-USD,73.09366502651751,80.35974459701389,58.61215579448515,76.71695578396123,0.2689435585960447,1,0.3147429987554923,-0.0017464128974372401,0.004415596357942753,0.006162009255379993,40.880263169240074,0.7967790563158065,,70.20103875856802,3127212838.0,64.16458235809607,1891993983.6000047,34.86663347894448,78.70082667418882,20.296593181884354,0.15348097358373658,0.02064098706686502,0.31769874516655416,0.31469494104385376,,
31,FTM-USD,33.11564497931553,31.37761559271431,63.20936792999847,59.33864337441281,0.9291913737037425,-1,0.7805505843781093,0.008576203287313488,0.0007133113096570859,-0.007862891977656402,41.10235552143422,0.27464927715070825,,49.85182865792544,747187511.0,38.80999572601621,-393229449.53304625,29.054912043916758,-73.27012539538299,-12.688579408795306,-0.28632496033689747,0.08520568413156787,0.7021885890868808,0.6998426715532938,,
32,XTZ-USD,73.26063652000944,83.09339235679853,85.92146313379787,92.91379151705264,0.5933284361716907,-1,0.5398536041629401,0.004019432301045595,0.01252429759292379,0.008504865291878196,24.279539439422177,0.6682759643511315,,62.63754195741172,1180626107.0,46.23043944801779,90401708.29546377,38.52590956974787,52.508359110025864,12.149458142086242,-0.07989306476962402,0.03171919716739324,0.552942326175272,0.5511083404223124,,
33,AAVE-USD,81.9460164221861,88.29621844244998,84.52974119252622,91.2898107962327,141.55515468974687,1,159.97006279814678,0.21551456423015303,4.442156482276373,4.22664191804622,37.08294054193467,0.800334209968029,,75.92626736257105,9017610697.0,56.18213268905305,5467663991.358925,27.033312574658492,105.82669276364479,23.334789475452805,0.14465094631026815,10.99047018078847,166.151809073365,167.4071807861328,,
34,SAND-USD,78.8839299344409,85.79679902256412,79.0220261949007,89.1284003957965,0.2598397764020053,1,0.2882544524510957,-0.00023993528225921615,0.005418936894852729,0.0056588721771119455,31.260317144232413,0.8050744578634641,,67.31278147672514,5269182320.0,59.346019060933806,1909177653.342308,21.447459946356965,89.15928486821619,22.717047059566813,0.13045418461979444,0.017591791315932227,0.3000071242481893,0.2980023920536041,,
35,STX-USD,5.387825490069454,5.387825490069454,39.44568508900293,39.445685089002914,0.007657312442461901,-1,0.004206853143850987,-7.567662829461573e-05,-7.201542345069045e-05,3.6612048439252773e-06,208.48351781875377,0.4728331820553198,,46.386236575102764,-371360.0,49.2049002432329,-1242665.2845812305,65.21521204766661,-25.500592429508313,22.102539980713477,-0.6437264961709688,0.0015016199930498624,0.002888755508250808,,,
36,EOS-USD,74.8186840792812,74.66281850016604,91.2279622233108,93.78574170478396,0.8098044995661831,-1,0.686252895755437,0.0037682243770626876,0.00336511903982571,-0.00040310533723697745,22.45836200286721,0.8387589078852801,,71.85465501067307,8664837369.0,56.69387143435352,1189939129.8266385,24.275149578648968,107.60530135660493,17.008287036963107,0.029012699583272,0.05051264784853445,0.6833972041070098,0.6874412695566813,,
37,CAKE-USD,70.95538637887199,73.34265595079931,80.67221930290252,89.02633381935,2.1793754980055304,-1,1.8932770197122943,0.0028589684952882374,0.027786050488248965,0.024927081992960728,19.615157651044626,0.8527840685740089,,76.25723133041261,2189972099.0,56.171703040623036,-616581648.2127174,12.930750124462248,103.92039733610586,16.616650728401083,0.053741740219780766,0.14215715241987523,2.0576874535175653,2.0684430599212646,,
38,KAVA-USD,71.6288447111778,79.97578167759988,82.43501062043718,89.55153769648832,0.4720016280162403,-1,0.4359349571783765,0.0010134409678516278,0.005521485615401628,0.00450804464755,15.91435198976889,0.8907687787892486,,66.99265841739076,850685142.0,58.56021333289296,407502774.98832184,16.837892877347006,114.88956478300716,8.590023507402986,0.1186276892497345,0.02110508213162978,0.4569193857134477,0.45562373598416644,,
39,CHZ-USD,80.2952715893855,86.19182111125087,86.21269650969607,92.20127198099816,0.03637566191653408,1,0.041229890754910264,0.00016011167585612942,0.0008440704006422864,0.000683958724786157,24.12124059022702,0.8673503240165084,,69.19270025419674,1327822984.0,56.19006675503474,1914788846.835017,23.494150073815348,100.96055330939781,19.629901084614293,0.13465802372552405,0.002287137580453735,0.041846049311013545,0.04161714514096578,,
40,THETA-USD,79.07425202889046,77.88839347177289,91.93539852074127,94.62359901382752,0.8007166617265837,-1,0.7395531600925411,0.005984640069843623,0.019647649251789377,0.013663009181945754,25.72901574634556,0.8178486796198535,,63.50704454709173,-53697770.0,52.09857850206778,303608030.8866216,30.686472361636326,68.6042048319779,18.206223497974257,5.787482839353019e-05,0.05593115539848992,0.7338245989222072,0.7348751028378805,,
41,ENJ-USD,47.42878568860554,50.093257157673406,77.75900698336983,83.76494014343176,0.07122848262273113,1,0.08068473757668194,-0.0005030175962900557,0.002452178544493031,0.002955196140783087,66.5626627349737,0.722925987832375,,74.69242634595417,671941424.0,56.448861946858536,184243794.08370125,49.42969833708312,50.87917998271774,44.46876947129716,-0.25418025378847975,0.007993179566405984,0.08705527409835592,0.08510381480058034,,
42,WAVES-USD,68.9211050597421,73.715622548371,82.11052167970834,89.78321092906869,1.0132189794763484,1,1.1052834714776256,0.0005075618549990231,0.025321272968886154,0.02481371111388713,24.426722140027245,0.8286900110348182,,69.03928958223848,3598734538.0,54.53840603649654,-241464723.075708,26.87753437551247,97.54094351915228,17.46838797986396,0.07558139003327886,0.0712412275419569,1.184390528206893,1.1864875555038452,,
43,RUNE-USD,79.6931320612748,84.23686757974951,76.3715459175465,82.27219746875824,1.19142718416471,1,1.2925214820922604,9.770731358272125e-05,0.025249322812302778,0.025151615498720057,35.41612847573622,0.900142021833336,,83.89557802350187,637110039.0,63.37423385775859,-1676416997.5638356,22.0940633375304,106.86216670288114,24.099202769526272,0.10095456356247234,0.07578531144618393,1.361587987831108,1.364208459854126,,
44,1INCH-USD,91.86514438901672,94.63582353555041,91.41095799177161,95.21256115498757,0.17622700488568996,1,0.18941084980833978,0.0010323586437482914,0.005049678520201997,0.004017319876453706,29.20608875411141,0.9740306742402638,,66.54094102849213,985012429.0,62.61915412633974,913395834.4195479,27.38370050630629,159.50067612883927,24.44280612794957,0.21659755089925917,0.009742312268503975,0.1997052863633173,0.20409940679868063,,
45,BAT-USD,89.3589894494822,91.6803988838516,85.56550784879236,91.54619154924904,0.1312110197428245,1,0.1432428795087519,0.0003643377638237119,0.00332164817591804,0.002957310412094328,31.504497876471138,0.9521779314750768,,82.81749160910293,277269087.0,63.20617941805387,439179655.39578825,22.202740563407318,125.6008575947175,25.13401748855125,0.27114931765547984,0.00760202283471252,0.14899474087702091,0.14986848334471384,,
46,OMG-USD,69.76176564854872,75.90274918021856,88.529328143094,93.1819439843922,0.21553552589891478,-1,0.1958567149992664,0.0008130139172170723,0.0033724008482139264,0.002559386930996854,18.920933077653714,0.8883250140632137,,57.11226020918574,-317400543.0,57.27170768386534,-385272826.3356998,22.39998481624445,130.45368034181405,16.593427520118887,-0.061577087136516606,0.012531403614977045,0.20745551312610538,0.2104276567697525,,
47,ZIL-USD,83.8230906878237,89.19040205804782,83.45069082573808,91.22490721587745,0.011262429019894585,1,0.012587003210314055,-2.254749770571929e-05,0.00020630077318128386,0.00022884827088700315,30.43035104239697,0.8294104175468593,,64.72388783606853,628753263.0,62.65744224564398,1068229440.151122,21.369725097361094,96.63740178873677,18.42250976660522,0.2540245340566731,0.0006684963272326667,0.01295276371569469,0.012898781957725683,,
48,CRO-USD,78.15528986213543,80.54744602715623,86.49655972999498,91.0634952892853,0.07876808276744618,1,0.0887604706336937,0.0003502120583646911,0.0008288181192193501,0.00047860606085465906,16.67284888190878,0.7395145455273943,,58.03849999071434,944080579.0,53.179322262770455,-111295741.62395473,16.14897103181042,86.72709904666534,10.297797629335832,-0.017420824552384372,0.005068847980039588,0.09053701677682675,0.09075475732485454,,
49,GALA-USD,75.99110095708166,82.02569131534672,77.70789666437666,86.84618362359741,0.014519098603402924,1,0.016284299513448064,-2.6891613898750977e-05,0.00035325605913310047,0.00038014767303185145,35.72291616762786,0.8293885347731782,,72.54748198476639,1666577250.0,58.44840745263891,2072854141.981889,21.8103924901631,80.02817051112594,25.73652957076215,0.09054452713697904,0.0011489549620977626,0.01709379413983129,0.01686054530243079,,
50,YFI-USD,88.5234866727285,93.10600307293781,94.21830907419287,98.07276969139762,5079.21534955293,1,5584.085524178052,60.55093671278232,176.59763939834914,116.04670268556683,41.90618515420492,0.9935369914500862,,71.3600699887589,578834880.0,70.47123567943555,761561136.0774878,31.533644074422003,187.6586579534118,33.35360511249791,0.18095001365030525,305.98827142036794,5763.599325617235,5991.509114583333,,
51,CRV-USD,64.04689361735424,71.37208072612609,38.226265324195595,53.093460595115836,0.5215476524248599,1,0.5931771652367092,-0.003742066623167642,0.0008477151968305577,0.0045897818199982,27.389063883213957,0.6753370818500833,,55.28960007441255,7011643489.0,58.06223568168996,489291961.9891035,30.849457205475904,62.72612557171918,2.669783121037614,-0.020503597729671315,0.05308269907250059,0.6569569882829097,0.6522769530614217,,
52,ANKR-USD,72.2143662753667,81.75496159621083,74.23103680046658,86.89344578105845,0.017443785034892745,1,0.01952991814768894,-3.84410381803654e-05,0.00033026824919354003,0.00036870928737390543,34.07420485455423,0.818428516498683,,78.93131248459126,595804292.0,61.589359394565385,412378617.6567336,27.664078909351197,83.37428033215106,18.527303000886892,0.18460255310209767,0.001198728545572461,0.02017114292754665,0.019904380043347675,,
53,SNX-USD,76.58832502332872,83.1414129557034,78.26907831326254,88.83923470624457,0.6279783111966939,1,0.6997950090768446,0.0006057692029808708,0.018502773416461973,0.017897004213481102,31.097776874771366,0.7893226763788912,,67.94051443578823,313002370.0,54.2911747391364,95085025.75943235,23.405354361242694,80.53530706088578,19.720902612826603,0.10127015793818288,0.04828566012744466,0.7397150747916277,0.7280492782592773,,
54,UNI-USD,59.38272731764002,53.76544372133937,86.78228384807373,85.98263775704753,0.0001756823797843082,-1,0.00016770624982682082,3.104902612657878e-07,4.5794196563421334e-07,1.4745170436842553e-07,10.008562988915696,0.45423779996217106,,29.101620266810116,147.0,46.43342124084598,192.44165869965423,18.83207363809805,-17.30619672877682,-2.97618717643643,-0.017685732775962366,4.946793819945931e-06,0.0001629208965554293,,,
55,REN-USD,90.90218742979282,84.00692621712818,99.90771228197109,99.9692374273237,0.012482030499080945,-1,0.01096984000227298,5.3409144162720474e-05,0.0002623112897462396,0.0002089021455835191,18.787185550546045,1.1485894575819429,,74.98777812223918,3189850.0,59.9447949832787,-408891943.020671,39.85096674521509,241.5288801502024,15.939918789426029,0.1357011875997655,0.0010372316653097307,0.01106503363188666,0.011288670202096304,,
56,CELR-USD,90.00589187213352,91.75603156551172,88.33270832542986,93.2945532730963,0.008824392580842253,1,0.009737709881144604,1.0086420105920508e-05,0.0002893318640762396,0.00027924544397031907,46.58494282489686,0.9012645377933987,,78.52619026381701,-75597961.0,63.50348451142312,58796242.219471835,28.392559140669054,108.08837645076147,37.76749524135887,0.23564075664980078,0.0005978928028145959,0.010312306771666929,0.010337760982414087,,
57,ONT-USD,83.53413582069821,88.97135232873664,79.39810615206875,89.60215443479649,0.13863522604230777,1,0.15329120785035916,-0.00033142708190448886,0.002454156583193829,0.002785583665098318,30.169138708699595,0.8108784359348085,,77.88817635912939,1004265263.0,61.79437311273182,-117210130.49035944,25.70670081000389,89.50734740981923,16.54688816839848,0.15470289699236076,0.007879534627655982,0.1574227294108205,0.15660001834233603,,
58,RVN-USD,76.44594125499452,85.14129460050673,74.30482498477586,87.13649405322649,0.010820688675560769,1,0.011701347956042503,-1.1878933578173288e-05,0.00021203477991527518,0.00022391371349344847,28.68023315366874,0.7764545682390073,,62.74936943437905,-34475673.0,57.02467376068534,351493160.5656023,23.643890484909658,78.93996097758215,16.414549595251255,0.1743121466273842,0.0006478060246604049,0.012105598820006933,0.011927800873915354,,
59,DASH-USD,72.00917073642192,79.12370888196897,80.61423344098974,85.42968425980537,19.32458444433511,1,21.855814815565576,0.04194600005946125,0.3075391605390762,0.26559316047961495,17.613689208364693,1.0867714023083075,,66.96016420557973,1005104096.0,60.64891951035904,1026035596.572109,21.682099281621714,167.3043775508368,16.386130922903966,0.04582893473754922,1.1448183244763293,22.52732834419421,23.057401657104492,,
