,symbol,priceToBook,CPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI,ADX,CCI,ROC,ATR,OBV,CMF,AD,MFI,MACD,MACD_signal,MACD_Hist,MACDAS,MACDAS_Signal,BB_Middle,BB_Upper,BB_Lower,BB_%B,BB_BWidth,FWMA,VWAP,kama,EMA_200,Supertrend,st_way,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,time,YF%,MACDAS-dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross
20,ALARK.IS,0.6090122,91.35,171.06,125.0,142.956,144.72,149.997,92.45,91.0,92.45,strong_buy,75.15,109.0,62.76846213876086,19.823441164141272,141.9737843344035,4.579278843588151,2.5935128486043313,10347690.0,0.1519889151159939,-133440761.63444898,69.93764778984507,2.021980361523134,1.3461176897458023,0.675862671777332,0.675862671777332,0.7039880084127692,85.83999938964844,93.31265525617117,78.36734352312571,0.8686774276035701,17.410661508983807,90.18580011518684,91.5999984741211,86.62766695756656,87.64805224620699,84.02317934769763,1,87.52214760507904,80.54185805107628,80.53388709983592,65.00269801980399,80.67499923706055,83.70000076293945,95.56947050207769,88.84256294293463,,2025-07-24 02:09:18.759548,47.858197932053145,-0.02812533663543726,-1.189832341806396,2.148500554100896,-14.211993953885372,no-trend,No_Data,Bearish
21,ALBRK.IS,1.0916227,8.9,10.0,9.85,9.925,9.925,8.153,9.2,8.84,9.23,none,4.92,9.29,69.40431497181989,48.990906267459074,100.69304490050175,8.404379746373744,0.3005613594912906,532709164.0,0.25667874622850523,161290125.69609427,73.85737617333506,0.4947793079311804,0.46867432393009023,0.02610498400109018,0.02610498400109018,0.051578452248250466,8.370500016212464,9.43525295728724,7.305747075137687,0.7486490442483895,25.440605436055236,8.967322298285927,8.989999771118164,8.829619599953002,6.656673721833382,8.282886909173918,1,85.17238024425255,91.45073372133771,66.66666666666667,83.59755958264985,7.075000047683716,6.745000123977661,6.099169591147546,6.458851637023212,,2025-07-24 02:09:18.759548,91.0755148741419,-0.025473468247160284,-3.2608695652173836,6.014078171766735,-17.912954211936103,upper,Above_Cloud,Bullish
22,ALCAR.IS,3.8779774,943.0,,,,,243.168,955.0,939.5,968.0,none,809.0,1403.0,54.91930971680815,19.175125550516288,57.422222222222125,-1.514360313315927,33.835206355230135,498602.0,-0.0769693206441154,-2616360.7633167747,57.78303896153809,10.291251016313367,6.745629171958039,3.5456218443553285,3.5456218443553285,5.9905562718025696,922.1,997.5974171743641,846.602582825636,0.6384153311611354,16.37510403955407,940.842799188641,950.1666666666666,908.7805123948184,946.9362576864124,877.2426845170213,1,38.047619047619044,39.936799668814366,45.5687265948304,37.02136565748038,862.25,943.0,1158.5697158319074,1066.777758699567,,2025-07-24 02:09:18.759548,22.55892255892256,-2.444934427447241,-1.2565445026177957,5.789757918808491,-10.222419636730018,no-trend,Below_Cloud,Bearish
23,ALCTL.IS,1.6565706,120.6,,,,,72.801,121.1,119.0,122.0,none,89.45,151.1,66.29272031941217,38.59345557744666,126.22464719365753,10.136984907873146,4.189700027012705,17945067.0,0.13175103798430668,-22674621.369928606,76.70188133255843,4.42294787008737,3.1494923412359195,1.2734555288514504,1.2734555288514504,1.1361015954821005,110.53000068664551,123.83790785886622,97.2220935144248,0.8783464092872535,24.080172061065774,119.80902593276079,120.53333282470703,114.8928184969665,112.75622822902488,109.23417499932727,1,87.01165785624433,90.30852848668421,75.60213614675189,80.23026134210085,106.70000076293945,105.54999923706055,101.01249885559082,120.85000228881836,,2025-07-24 02:09:18.759548,50.52716950527169,0.13735393336934987,-0.41288191577208977,2.6848323871195845,-19.384665410924708,upper,No_Data,Bullish
24,ALFAS.IS,4.0823903,46.18,82.0,82.0,82.0,82.0,11.312,46.54,45.96,46.88,none,37.86,86.0,59.183360911052965,26.637914609974388,73.90856727508573,4.055879210768551,1.6727294258550303,106261566.0,-0.2795397699250947,-217711957.81515047,70.21229532065091,0.9133930401866976,0.5634459412348,0.3499470989518977,0.3499470989518977,0.4758799684534616,44.068999671936034,48.33198367544763,39.806015668424436,0.7475965933136072,19.34686076492154,46.232312239207786,46.34000015258789,44.87654991934284,52.175666620999685,41.5739632896279,1,69.74989501552757,72.23599405591074,91.25746857951879,93.99412578781762,42.46000099182129,44.650001525878906,47.59500026702881,57.3849983215332,,2025-07-24 02:09:18.759548,17.28292480265891,-0.1259328695015639,-0.7735281478298273,4.659990635443112,-13.802477980891215,upper,Below_Cloud,Bearish
25,ALGYO.IS,0.392276,20.66,,,,,52.667,21.04,20.6,21.16,none,16.74,27.5,61.603148415451415,27.958053129282863,132.350031998443,4.448933924257819,0.6386180796102277,45630017.0,0.07419542863472155,-38465276.1709372,65.28497842425875,0.6024491294295125,0.4747767843788384,0.12767234505067404,0.12767234505067404,0.1135197925136431,19.70099992752075,21.29844662333084,18.103553231710663,0.8001664851812271,16.216909818659314,20.743874157176297,20.80666669209798,19.89962121020387,19.64257772151472,19.32073714127756,1,80.36528338170292,88.26496864235465,63.25900084542915,76.5757733626359,18.645000457763672,18.574999809265137,17.97000026702881,18.619999885559082,,2025-07-24 02:09:18.759548,36.431226765799266,0.014152552537030946,-1.8060836501901045,3.090254711185092,-12.373895296657,upper,Above_Cloud,Bullish
26,ALKIM.IS,1.4299198,18.18,24.5,24.5,24.5,24.5,12.714,18.44,18.03,18.67,none,13.15,20.32,71.79411262008959,45.39356724246677,96.52623949825576,5.759160793257284,0.7021099493474562,64592475.0,0.1067349203118088,-55250781.38884267,88.42306768396881,0.8903426938487762,0.7530811101987034,0.1372615836500728,0.1372615836500728,0.1850214761521103,16.595000076293946,19.249185364431025,13.940814788156867,0.7985850754214519,31.987770725335494,18.08062872973707,18.293333689371746,17.417946952677106,16.2174599931454,16.245020373372462,1,88.93579608364753,91.65562870963419,83.88777430765823,85.76898211358328,14.044999599456787,14.37999963760376,14.852500200271606,16.105000495910645,,2025-07-24 02:09:18.759548,70.15341701534169,-0.04775989250203749,-1.4099783080260386,5.881107615132142,-23.31785045018224,upper,Above_Cloud,Bearish
27,ANELE.IS,1.7614493,17.5,,,,,9.935,17.79,17.41,18.12,none,12.22,19.34,58.63977477615694,25.828200337633593,107.04083073750694,2.040818596238086,0.7063442163158733,75855147.0,-0.11868293398740681,-52397094.55156891,62.70374563917559,0.31674080944605976,0.24733258167066335,0.0694082277753964,0.0694082277753964,0.056968259633534,16.9585000038147,18.139453448041284,15.777546559588114,0.7292639048696512,13.927569584113424,17.50212997451999,17.676666895548504,16.746237829243483,15.356732647323348,15.886598836371007,1,67.2381083170573,67.71307087862456,87.42629788174101,82.74700165918938,16.40499973297119,16.550000190734863,17.24500012397766,16.53000020980835,,2025-07-24 02:09:18.759548,74.15730337078652,0.0124399681418624,-1.630129286115789,3.6540197030930477,-9.84259108806792,upper,Above_Cloud,Bearish
28,ANGEN.IS,1.5485277,11.36,,,,,7.336,11.15,11.12,11.61,none,9.6,21.12,67.29373958941737,34.50418784735914,133.64734744444573,9.970955862327465,0.32168094393005536,-263373495.0,-0.06886162916757595,-864119827.866302,81.14069379820369,0.21650177491378209,0.10947036549515964,0.10703140941862245,0.10703140941862245,0.10311527805199654,10.573499965667725,11.445308982977275,9.701690948358175,0.9510733861394904,16.490452927419,11.17455366900678,11.363333066304525,10.784314790806679,12.321510016217808,10.388726502859443,1,87.5985517567846,87.02955655585758,97.99917906815,97.3932952767107,10.315000057220459,10.565000057220459,11.31499981880188,12.255000114440918,,2025-07-24 02:09:18.759548,15.277777777777773,0.0039161313666259134,1.883408071748871,0.7509593571943363,-14.597790947551271,upper,No_Data,Bearish
29,ANHYT.IS,4.3653836,85.4,165.0,138.3,151.93,152.49,19.563,86.6,85.4,88.0,none,68.05,128.2,65.5616438592541,19.320853476441755,159.09595793954543,5.432100649233218,2.717093079871276,-6832897.0,0.07859211345822012,-36114833.23492784,57.24539905488399,2.100907021386547,1.3122588449434787,0.7886481764430684,0.7886481764430684,0.5850511721751152,80.25750007629395,86.28396438513691,74.23103576745099,0.9266599108567757,15.017822142763269,84.63777856265797,86.26666768391927,80.29923882834187,87.48273287137822,79.52427486943337,1,82.2665982222751,85.4800125051853,95.52499551519571,93.7148724983814,72.75,75.5250015258789,87.19999885559082,92.68203059792117,,2025-07-24 02:09:18.759548,28.84455527847051,0.20359700426795324,-1.385681293302532,1.0350871020338381,-13.078412450291587,no-trend,Below_Cloud,Bearish
