,symbol,time,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Cloud_Position,TK_Cross,CPrice,change,EMA_200
225,ISSEN.IS,2025-07-11 01:08:45.745759,89.63149673763776,92.06757848242118,0.02311991079618609,0.058901191555196006,0.035781280759009916,11.350304185731975,0.7816542307900495,9.118086696562038,61.81372970607507,52.874580971738894,19.844759959674175,83.91611112083667,8.554570881384228,-0.10751249169154183,0.1896111418899644,7.298509166883891,7.34333340326945,7.399007702684144,-1,7.211815604814623,7.765000343322754,7.90500020980835,7.9075000286102295,7.840000152587891,Below_Cloud,Bearish,7.36,1.237964236588729,8.629658582762382
226,IZENR.IS,2025-07-11 01:08:45.745759,70.70118620350922,72.20069439314979,0.00968218149582999,0.03144602145959892,0.02176383996376893,13.131202284511495,0.7968623652992812,73.51759769870773,76.60783768059896,55.29862652836302,28.018173272721018,124.25600274839897,6.482983637298341,-0.021794837050082443,0.256083642806711,6.557626819030267,6.610000133514404,5.908794809359624,1,6.378819251615033,6.5249998569488525,6.704999923706055,5.987499952316284,5.5950000286102295,Above_Cloud,Bearish,6.57,-1.0542168674698704,5.528987351622727
227,IZFAS.IS,2025-07-11 01:08:45.745759,15.464213406030188,8.724138582743203,-1.769399797094061,-1.3267327428607985,0.4426670542332624,55.57004053737089,0.7241196158020926,87.56798756798757,63.06555050619926,65.23914145481031,42.976649575367624,66.40891600359883,13.62416312198511,0.1990507367033997,10.861552950960098,163.19807421701677,167.76666768391928,184.52918686315394,-1,167.3305214441942,109.07500076293945,100.29999923706055,75.56250095367432,71.72500038146973,Above_Cloud,Bullish,169.3,4.506172839506184,87.70088333757516
228,IZMDC.IS,2025-07-11 01:08:45.745759,45.60384954691551,61.31282507885307,-0.01078231881210292,0.0030709804339051766,0.013853299246008097,10.20193632864359,0.6551651030497871,33.18385650224217,62.0371525510569,54.13765405628757,13.223735815167853,55.488687042853385,6.734692189456157,-0.05538814144154064,0.17923657403365056,5.220192761740385,5.240000089009603,4.822976359277724,1,5.087691730601058,5.045000076293945,5.019999980926514,4.877499938011169,4.984999895095825,Above_Cloud,Bullish,5.23,0.38387715930903177,5.283294059018051
229,JANTS.IS,2025-07-11 01:08:45.745759,73.25142937594048,79.7526365246751,0.020788650528000496,0.1489393964063413,0.1281507458783408,12.03602513039667,0.6938440168088403,10.62322946175637,72.07828163942627,50.93543260076098,17.795688735485882,56.59171826039585,8.012820806729028,-0.19759051503714264,0.6882857702498061,20.157535173830105,20.28000005086263,20.76418160167839,-1,20.158609454189342,21.449999809265137,21.449999809265137,23.45691242901903,23.58672986373317,Below_Cloud,No_Data,20.22,-0.3940886699507429,23.843435387289873
230,KAPLM.IS,2025-07-11 01:08:45.745759,12.225229210585894,39.44511974740312,0.2031005778003936,-1.0721331878420477,-1.2752337656424413,11.175077949490364,0.11216130416422969,51.02435253189023,30.98404246468575,40.769963120708965,15.955471298184602,-134.53030698544853,-1.7391333833408817,0.037631004770794764,9.104842712468905,206.64249273149284,205.36666361490884,198.7640688104797,1,215.87844389600534,235.9250030517578,217.9250030517578,189.77499771118164,190.4499969482422,Above_Cloud,Bullish,203.4,-2.3054755043227626,198.81012921633
231,KAREL.IS,2025-07-11 01:08:45.745759,53.44345082243424,65.9150358252423,-0.03006801758778614,0.03685179763194733,0.06691981521973348,18.782513949448347,0.5869400572821015,8.169291338582676,74.28559366409256,49.39220689821363,15.094697407784617,29.935147759292583,9.162307569833708,-0.12381276084870589,0.33540858559447095,8.423843975241237,8.373333295186361,7.738863055661289,1,8.279511915322217,8.455000162124634,8.815000295639038,8.84000015258789,8.680000305175781,Below_Cloud,Bearish,8.34,-0.35842293906809264,9.663583866299492
232,KARSN.IS,2025-07-11 01:08:45.745759,77.85828390259404,84.74711747766115,0.031483985270000986,0.09468676713800928,0.06320278186800829,13.986143097382293,0.7253561597617588,8.402585410895645,66.41730275910307,50.03301878016645,17.634089262239126,60.82549381841233,10.289021763841122,-0.20401552655874036,0.2806046948288469,9.471876155048548,9.523333231608072,8.918016121464936,1,9.25724885639387,10.5,10.640000343322754,10.84499979019165,11.119999885559082,Below_Cloud,Bearish,9.54,1.0593220338982912,12.162112934799982
233,KARTN.IS,2025-07-11 01:08:45.745759,71.30162387609069,75.6241806952841,0.14436413229715916,0.6377619829559145,0.4933978506587553,13.070479833711651,0.8444946749297167,14.285714285714299,60.65398427350894,56.21325059352181,16.535463871905876,102.63597400564058,8.89032862142738,-0.07498349288600574,3.169730367097242,83.0342307642072,83.8000005086263,86.05981532823314,-1,82.27337164047569,86.75,87.875,88.14999961853027,99.67499923706055,Below_Cloud,Bearish,83.9,1.2062726176115701,89.25556211194073
234,KATMR.IS,2025-07-11 01:08:45.745759,59.14136613246094,62.41977389199502,-0.0011160134633854905,0.007967118758017463,0.009083132221402954,17.299042789370148,0.9045373933570608,21.51394422310757,58.59753691665907,60.89209564265566,29.151437040465844,122.91664454775773,5.319150217845466,-0.023305408998176572,0.09220627081819248,1.9363590405146924,1.9699999888737996,1.701039144859342,1,1.7817167679927715,1.725000023841858,1.6500000357627869,1.990000069141388,2.0450000762939453,Below_Cloud,Bullish,1.98,4.210526315789487,2.1019103115800033
