,symbol,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Cloud_Position,TK_Cross,CPrice,change
128,ECILC.IS,0.8566096669276041,0.8294667673206102,-0.23383085346098675,-0.5223327982281095,-0.28850194476712276,13.547099202336582,0.015212875397556037,17.173913043478244,65.06416617176373,33.927356346475186,21.888789586173434,-154.07840366060918,-6.258388347592406,-0.26694531707517216,1.1819976329281416,42.870222285117876,42.12666702270508,45.7844571064852,-1,45.29065651306253,44.54517878550553,43.80227591260697,40.743836877720845,41.67005044547582,Above_Cloud,Bullish,41.94,-1.3176470588235345
129,ECZYT.IS,0.8625275922729064,1.273944036045841,-0.5146441712016967,-1.5264879351515654,-1.0118437639498687,10.695026684205745,-0.08093958998125529,1.823361823361817,55.45277945315394,30.884643192335794,18.030333944359942,-176.5718733487988,-5.646527191057781,-0.45172227675405535,5.0543319732334195,170.8407727255057,168.5666707356771,184.31909393186444,-1,177.38812286989355,178.13916713995408,177.2199311359148,181.6226121889864,181.6226121889864,Below_Cloud,Bullish,167.1,-2.223522527794042
130,EDATA.IS,22.5817203561264,20.60470818472217,-0.0015808389550031367,-0.016285639240991506,-0.014704800285988369,11.02710289370049,0.14873801466403935,19.700928148950787,34.74632127293071,42.45410312472375,20.797671176773417,-91.39781129402259,-1.45278307789256,-0.187979795669949,0.19016903041216035,4.122393547158696,4.100000063578288,3.9442213836009308,1,4.185216337194331,4.474999904632568,4.349999904632568,3.9100000858306885,4.271300554275513,No_Data,Bullish,4.07,-2.1634615384615308
131,EGEEN.IS,10.321982568954184,20.459772397477995,-20.40407993871427,-41.39447405033167,-20.990394111617398,14.383106402941545,-0.08279859894589117,0.4444444444444444,39.71639441915509,27.617658094720607,21.85658840927688,-192.91007859022977,-6.8493150684931505,-0.32562064763724635,232.93928457969272,7719.310344827586,7543.333333333333,8254.349805613563,-1,8254.392206006589,9290.0,9290.0,9591.750165095149,9538.928629984588,Below_Cloud,No_Data,7480.0,-2.857142857142858
132,EGEPO.IS,13.614511559838638,17.723129980787622,0.0051331115807347755,-0.032026009173152944,-0.03715912075388772,14.147218005336358,0.1123765095050793,52.07496653279786,41.0481441353294,36.515048834257215,13.938837110883421,-136.34856223251185,-5.9999979459322414,-0.16860955783735038,0.2858684864250779,6.213275895399205,6.143333435058594,6.9648857053719055,-1,6.4049946743840405,7.444999933242798,6.924999952316284,5.590000152587891,5.7275002002716064,Above_Cloud,Bullish,6.11,-2.7070063694267454
133,EGGUB.IS,82.36484875878493,92.99523856968021,-0.08808700288920956,0.9199130347419526,1.0080000376311622,38.89746860408769,0.8047187422524401,92.1759183001153,74.59160157817433,68.29458258417834,54.0269524833446,110.5386293633563,13.001210876642428,0.11558414257161764,4.890138263647731,93.5425966970819,94.18333435058594,80.36834320033034,1,87.60870260173077,69.69231812160753,66.8870635545831,62.276687550074385,67.98477269953959,Above_Cloud,Bullish,93.0,-4.419321685508737
134,EGPRO.IS,1.5968052828352919,9.02944349707679,-0.027457108384988216,-0.0848415019093538,-0.057384393524365584,16.118301584382547,-0.018303891794226413,1.6907764110728987,37.092001856817596,23.718353242739035,35.873303980905284,-163.71041107368987,-9.75369269286255,-0.41559982292006326,0.6184397532295197,18.795202967119508,18.37999979654948,20.25567800617348,-1,19.59647469691042,23.150610696939744,23.219015266977056,23.95193991112835,23.94216731733954,Below_Cloud,Bearish,18.32,-1.7694369973190294
135,EGSER.IS,28.892357266097676,34.67165861684918,-0.005493916759642985,-0.01303225687922474,-0.007538340119581755,11.609922940583592,-0.02477558944624369,2.531645569620256,52.02135643705424,32.44762258439142,17.7735694258848,-146.97592007456328,-7.073948476286741,-0.1459424939969814,0.09232903426231617,2.955385446306658,2.9133333365122476,3.2035978331226307,-1,3.068878733791198,3.305000066757202,3.384999990463257,3.2450000047683716,3.4000000953674316,Below_Cloud,Bearish,2.89,-2.6936026936026924
136,EKGYO.IS,31.18956318901893,41.71551703873063,-0.10985312439614675,-0.034036032817345574,0.07581709157880118,22.06238318638804,0.4947512667945178,72.54374158815611,75.114947255721,52.38022306197325,30.529534265602646,21.43857745123616,5.045577385000367,0.02355754854354659,0.5424270112525779,14.844788572609303,14.603333473205566,14.083124903219012,1,14.35608976772316,11.6107704814453,11.815237362900199,13.5093879751491,13.5093879751491,Above_Cloud,Bearish,14.37,-4.4547872340425565
137,EKSUN.IS,32.239561035588395,41.059486735449106,-0.017416864381482152,-0.01899063426974529,-0.0015737698882631402,12.917458968630996,0.14228284478770378,12.187500000000018,72.63030637934432,42.56027188424751,19.243716331446244,-97.55748722567945,-0.9615329948400716,-0.3425234907668705,0.22489799483390246,5.272190715429991,5.199999968210856,5.019313059059629,1,5.430792055124655,5.3450000286102295,5.444999933242798,5.630000114440918,5.955000162124634,Below_Cloud,Bearish,5.15,-3.0131826741996104
