,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Cloud_Position,TK_Cross,CPrice,change
27,ANELE.IS,44.079380931728366,54.99964013520963,45.7649091227982,61.28880069706997,-0.002114897529975651,0.022147092767320978,0.02426199029729663,13.332788941223045,0.4953871820088435,56.60112359550562,52.54547388103347,69843514.0,49.4118919825383,-55080872.9461521,19.03335309097967,-38.326197819292695,-5.523260004653043,0.0014783830929245775,0.8869689838116469,16.45397584385127,16.05666669209798,17.52055530155225,-1,16.38646723388687,17.670000076293945,16.90999984741211,15.227499723434448,15.104999542236328,,Above_Cloud,Bullish,16.25,1.4357053682896304
28,ANGEN.IS,25.760687238434244,34.44561064005088,46.16383276189847,66.60650750631268,-0.018926597523416272,-0.03393957353414412,-0.015012976010727845,11.38660728789338,-0.12278216142661612,1.59151193633952,41.70136645496708,-284984481.0,28.33162129603954,-861318562.4910424,14.949953456870523,-200.85355921084056,-9.674508208885019,-0.29849995810762586,0.28164574760142536,10.349553685642883,10.013333320617676,10.863683356893192,-1,10.701545652341387,11.109999656677246,11.519999980926514,12.072500228881836,13.380000591278076,,Below_Cloud,Bearish,9.99,-2.44140625
29,ANHYT.IS,25.86351774296757,23.3681294083375,60.37333436166347,66.36713746382361,0.004546694462092715,0.0600322968707907,0.05548560240869799,14.569996015638681,0.13141676650133433,4.862444017914265,30.864291709495888,-15118396.0,36.94847051594428,-38001769.07132616,21.009603584977395,-146.46743389545708,-5.211087623492012,-0.19008822398589767,2.7440673986690984,73.1139965560325,70.83333333333333,78.33621777317367,-1,79.19133437744051,85.0999984741211,89.29999923706055,96.38319810384782,96.38319810384782,,Below_Cloud,Bearish,71.85,2.7896995708154293
30,ANSGR.IS,20.65341616151871,15.408970981471882,18.745452659791948,23.261555234813752,-0.04658724852925594,-0.44083307488211254,-0.3942458263528566,16.20842781187961,0.1667426006166346,25.51652892561985,13.967474005230317,665323.0,36.585290383490225,-7448780.3744117115,15.763103540164492,-140.34138105644294,-6.393723477370994,0.08357595204377391,2.8767792783737263,84.08630751789704,81.69999694824219,89.27588390110535,-1,87.17949942401454,88.5,89.33958357485929,101.39761786057852,102.33160784272215,,Below_Cloud,Bearish,83.45,2.9611351017890364
31,ARASE.IS,62.73780500947101,65.69092151058474,56.44844205960689,65.005170155346,-0.08291012352983795,0.08620087492859696,0.1691109984584349,14.109529145595772,0.5854779386042216,41.551459293394785,62.222085940519776,20404062.0,54.594748320987236,-27589388.033470694,39.57247376240851,20.233202811131566,-0.20972834203241117,0.009303600665748979,1.962304487455701,48.53444330784176,47.45333353678385,44.309938537646815,1,47.68388597543609,45.13999938964844,43.04999923706055,42.60999870300293,45.579999923706055,,Above_Cloud,Bullish,47.58,-2.5399426464563724
32,ARCLK.IS,55.415507831018694,56.68678084441456,77.11630525843168,87.79484143562634,0.2650770380222316,0.6577935456420576,0.392716507619826,15.203680147921931,0.35223733494413245,6.541019955654106,39.66000919678979,-6238072.0,40.78189296542348,-60025688.25092999,25.645642258155686,-79.25492416291824,-1.8018018018018018,-0.12082010241483526,3.469604437690603,110.05000051378478,107.3000005086263,114.89207519196148,-1,111.65469192434759,118.0999984741211,129.0,139.59999656677246,136.39999771118164,,Below_Cloud,Bearish,109.0,4.908565928777664
33,ARDYZ.IS,35.65787699452638,43.74578567718573,32.926153273255345,46.56617947895611,-0.10408186247472676,-0.12947864723094185,-0.0253967847562151,14.950933510435117,0.06620312488959644,10.227272727272728,42.70243809541333,50665772.0,42.60902595236436,-60566719.937035464,18.871150959343254,-169.13941445183693,-4.3350419823421,-0.1606116906820847,1.1460438544575964,27.082190834726333,25.913333892822266,25.95897432525192,1,27.413637772266757,25.179999351501465,26.27999973297119,28.329999923706055,32.9399995803833,,Below_Cloud,Bearish,26.04,-1.7358490566037776
34,ARENA.IS,20.191656952670684,28.77272245380816,59.69543043822484,73.22179766744296,0.16633823475204607,-0.13104195577982036,-0.29738019053186643,31.33833912405022,0.07102503334761591,19.42857142857143,21.51302145133246,18573254.0,30.86385000648226,-52587756.989908196,24.045308596624924,-132.6745456677808,-13.96522592132802,-0.3827513551080478,2.1242614587203126,32.566552104137486,30.859999974568684,37.032681176898194,-1,33.790780805184106,44.52000045776367,42.790000915527344,42.86250019073486,43.704999923706055,,Below_Cloud,Bullish,30.68,-1.4138817480719879
35,ARSAN.IS,25.474272963395695,31.017798986048216,29.382041054615215,40.724619526958115,-0.00822347058756942,-0.11193903310203428,-0.10371556251446486,17.703422243373687,0.0929201352840174,38.87147335423199,46.2764747793337,57529556.0,39.90812678980771,14643519.408161594,18.44308111242837,-137.42439891715122,-10.141516266534328,-0.10340792431765113,0.7395848815244292,19.682646838453188,18.989999771118164,21.168879752115195,-1,20.107736300149224,20.549999237060547,20.34999942779541,20.0625,20.13499927520752,,Below_Cloud,Bullish,19.05,-0.10487676979549221
36,ARZUM.IS,73.65590591543295,74.0945005139696,20.298129088166878,21.796692262807557,-0.02908371389150332,-0.012792392718163043,0.016291321173340277,17.87365291577823,0.6562349073507587,27.15665487520147,61.92888986326094,404337743.0,62.66936419936851,-204788876.13056862,23.673716330256813,18.05554639410016,0.23473595087816385,0.42558521763617146,0.2006591273262038,4.271440133119936,4.169999996821086,3.7520455228803957,1,4.211831010755677,3.1799999475479126,3.625,3.8274999856948853,3.806016445159912,,Above_Cloud,Bearish,4.27,2.3980815347721673
